Territorialidades,IDHM 2000,IDHM 2010,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 2000,IDHM Educação 2010,Subíndice de frequência escolar - IDHM Educação 2000,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2000,Subíndice de escolaridade - IDHM Educação 2010,Renda per capita 2012,Renda per capita 2013,Renda per capita 2014,Renda per capita 2015,Subíndice de escolaridade - IDHM Educação 2012,Subíndice de escolaridade - IDHM Educação 2013,Subíndice de escolaridade - IDHM Educação 2014,Subíndice de escolaridade - IDHM Educação 2015,Subíndice de frequência escolar - IDHM Educação 2012,Subíndice de frequência escolar - IDHM Educação 2013,Subíndice de frequência escolar - IDHM Educação 2014,Subíndice de frequência escolar - IDHM Educação 2015,IDHM Educação 2012,IDHM Educação 2013,IDHM Educação 2014,IDHM Educação 2015,IDHM Longevidade 2012,IDHM Longevidade 2013,IDHM Longevidade 2014,IDHM Longevidade 2015,IDHM Renda 2012,IDHM Renda 2013,IDHM Renda 2014,IDHM Renda 2015,IDHM 2012,IDHM 2013,IDHM 2014,IDHM 2015,Renda per capita 2000,Renda per capita 2010,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM Renda per capita Censo,Desagregação HOMEM Renda per capita Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER Renda per capita Censo,Desagregação MULHER Renda per capita Censo
Teodoro Sampaio (BA),0.474,0.594,0.482,0.567,0.709,0.774,0.312,0.477,0.37,0.562,0.221,0.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.86,272.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teodoro Sampaio (SP),0.625,0.741,0.67,0.699,0.761,0.856,0.478,0.679,0.553,0.769,0.358,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.56,619.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teofilândia (BA),0.377,0.566,0.49,0.571,0.63,0.737,0.174,0.431,0.197,0.517,0.135,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.95,278.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teófilo Otoni (MG),0.589,0.701,0.635,0.698,0.746,0.824,0.431,0.598,0.475,0.66,0.354,0.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.51,615.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teolândia (BA),0.342,0.555,0.439,0.541,0.664,0.756,0.137,0.418,0.187,0.505,0.074,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.62,231.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teotônio Vilela (AL),0.398,0.564,0.488,0.549,0.569,0.7,0.227,0.466,0.296,0.577,0.133,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.55,244.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terenos (MS),0.529,0.658,0.618,0.651,0.746,0.839,0.322,0.521,0.369,0.621,0.246,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.31,460.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teresina de Goiás (GO),0.498,0.661,0.543,0.626,0.723,0.817,0.315,0.564,0.358,0.647,0.244,0.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.73,394.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teresina (PI),0.62,0.751,0.664,0.731,0.734,0.82,0.488,0.707,0.488,0.742,0.487,0.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.4,757.57,,0.73,,0.73,,0.745,,0.71,,0.747,,0.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.32,,0.78,,0.732,,0.883,,0.74,,0.781,,0.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.22
Teresópolis (RJ),0.627,0.73,0.724,0.752,0.773,0.855,0.44,0.605,0.481,0.646,0.367,0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.68,859.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terezinha (PE),0.352,0.545,0.394,0.536,0.635,0.711,0.175,0.425,0.232,0.547,0.1,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.91,225.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terezópolis de Goiás (GO),0.535,0.685,0.594,0.655,0.739,0.799,0.348,0.615,0.403,0.714,0.26,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.73,472.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Alta (PA),0.474,0.605,0.512,0.555,0.709,0.743,0.293,0.536,0.316,0.602,0.253,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.82,252.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Boa (PR),0.624,0.728,0.622,0.708,0.753,0.803,0.52,0.68,0.669,0.826,0.315,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.7,653.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra de Areia (RS),0.611,0.689,0.662,0.699,0.776,0.829,0.444,0.565,0.562,0.671,0.277,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.64,620.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Nova (BA),0.463,0.578,0.485,0.581,0.668,0.7,0.307,0.474,0.378,0.547,0.202,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.44,296.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Nova do Norte (MT),0.521,0.698,0.6,0.692,0.725,0.815,0.326,0.602,0.394,0.729,0.224,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.73,594.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Nova (PE),0.494,0.599,0.52,0.545,0.688,0.741,0.336,0.533,0.412,0.65,0.224,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.7,237.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Rica (PR),0.599,0.71,0.643,0.698,0.736,0.837,0.454,0.613,0.56,0.711,0.299,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.67,614.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Roxa (PR),0.622,0.714,0.63,0.697,0.789,0.818,0.484,0.639,0.602,0.742,0.312,0.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.23,611.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Roxa (SP),0.609,0.749,0.632,0.732,0.786,0.838,0.455,0.684,0.59,0.8,0.27,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.64,759.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terra Santa (PA),0.49,0.635,0.475,0.602,0.721,0.763,0.343,0.558,0.386,0.631,0.272,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.11,338.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesouro (MT),0.588,0.655,0.651,0.635,0.762,0.791,0.41,0.56,0.485,0.664,0.292,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.17,415.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teutônia (RS),0.664,0.747,0.697,0.751,0.821,0.855,0.512,0.65,0.636,0.722,0.332,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.11,854.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theobroma (RO),0.402,0.589,0.54,0.622,0.664,0.757,0.181,0.434,0.232,0.552,0.11,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.65,382.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tianguá (CE),0.46,0.657,0.503,0.628,0.695,0.768,0.278,0.587,0.348,0.713,0.178,0.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.63,398.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibagi (PR),0.522,0.664,0.584,0.678,0.762,0.832,0.32,0.519,0.404,0.627,0.2,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.41,543.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibau do Sul (RN),0.511,0.645,0.559,0.672,0.739,0.794,0.323,0.504,0.382,0.551,0.232,0.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.97,523.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tibau (RN),0.503,0.635,0.539,0.627,0.715,0.769,0.331,0.53,0.4,0.622,0.226,0.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.53,396.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tietê (SP),0.698,0.778,0.748,0.764,0.816,0.884,0.557,0.698,0.65,0.777,0.41,0.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.86,927.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tigrinhos (SC),0.538,0.717,0.537,0.688,0.766,0.846,0.379,0.633,0.62,0.857,0.142,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.8,579.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tijucas do Sul (PR),0.502,0.636,0.599,0.679,0.703,0.792,0.3,0.479,0.384,0.579,0.183,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.31,547.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tijucas (SC),0.669,0.76,0.736,0.747,0.796,0.873,0.51,0.672,0.583,0.742,0.391,0.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.92,835.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timbaúba dos Batistas (RN),0.546,0.64,0.605,0.614,0.703,0.723,0.383,0.591,0.452,0.698,0.274,0.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.31,365.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timbaúba (PE),0.489,0.618,0.542,0.592,0.676,0.769,0.319,0.519,0.369,0.607,0.238,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.83,318.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timbé do Sul (SC),0.57,0.72,0.679,0.721,0.786,0.856,0.347,0.606,0.44,0.749,0.215,0.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.41,709.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timbiras (MA),0.344,0.537,0.406,0.498,0.606,0.73,0.166,0.427,0.213,0.543,0.101,0.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.08,177.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timbó Grande (SC),0.453,0.659,0.542,0.634,0.719,0.798,0.238,0.565,0.286,0.635,0.164,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.71,412.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timbó (SC),0.69,0.784,0.735,0.807,0.808,0.856,0.554,0.697,0.634,0.75,0.423,0.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.58,1214.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timburi (SP),0.593,0.71,0.627,0.688,0.73,0.826,0.456,0.629,0.608,0.776,0.256,0.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.3,580.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timon (MA),0.479,0.649,0.521,0.614,0.656,0.768,0.322,0.579,0.349,0.651,0.274,0.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.21,365.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timóteo (MG),0.695,0.77,0.691,0.737,0.811,0.836,0.598,0.742,0.651,0.79,0.505,0.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.8,786.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tio Hugo (RS),0.595,0.742,0.64,0.709,0.781,0.845,0.422,0.682,0.577,0.782,0.226,0.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.6,660.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiradentes do Sul (RS),0.551,0.689,0.577,0.705,0.783,0.815,0.37,0.569,0.548,0.75,0.169,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.15,644.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiradentes (MG),0.61,0.74,0.671,0.741,0.791,0.885,0.428,0.619,0.512,0.691,0.3,0.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.35,802.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiros (MG),0.586,0.683,0.628,0.703,0.804,0.852,0.398,0.532,0.547,0.68,0.211,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.31,634.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Barreto (SE),0.407,0.557,0.517,0.609,0.573,0.702,0.227,0.404,0.278,0.485,0.151,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.18,353.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tocantínia (TO),0.445,0.589,0.552,0.57,0.674,0.782,0.237,0.459,0.246,0.502,0.221,0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.19,277.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tocantinópolis (TO),0.542,0.681,0.555,0.634,0.66,0.801,0.434,0.623,0.472,0.678,0.366,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.16,414.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tocantins (MG),0.593,0.688,0.638,0.682,0.782,0.8,0.419,0.597,0.546,0.718,0.246,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.45,557.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tocos do Moji (MG),0.55,0.696,0.577,0.661,0.761,0.808,0.378,0.631,0.503,0.847,0.213,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.73,489.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo (MG),0.528,0.661,0.635,0.66,0.761,0.802,0.304,0.546,0.484,0.703,0.12,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.29,486.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo (PR),0.694,0.768,0.697,0.755,0.798,0.855,0.6,0.702,0.691,0.768,0.452,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.94,876.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomar do Geru (SE),0.35,0.551,0.428,0.52,0.62,0.746,0.161,0.432,0.227,0.564,0.081,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.07,203.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomazina (PR),0.577,0.699,0.612,0.661,0.767,0.829,0.409,0.622,0.522,0.802,0.252,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.05,489.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tombos (MG),0.606,0.718,0.615,0.699,0.781,0.871,0.463,0.607,0.555,0.723,0.323,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.03,621.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomé-Açu (PA),0.438,0.586,0.573,0.596,0.686,0.798,0.214,0.424,0.23,0.475,0.186,0.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.23,326.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonantins (AM),0.327,0.548,0.425,0.508,0.666,0.779,0.124,0.416,0.139,0.471,0.098,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.67,189.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toritama (PE),0.481,0.618,0.623,0.655,0.728,0.797,0.245,0.452,0.307,0.551,0.156,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.28,470.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torixoréu (MT),0.593,0.716,0.629,0.684,0.756,0.806,0.438,0.666,0.528,0.763,0.302,0.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.85,564.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toropi (RS),0.52,0.683,0.579,0.68,0.751,0.822,0.323,0.569,0.451,0.742,0.166,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.92,551.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torre de Pedra (SP),0.575,0.714,0.606,0.679,0.786,0.829,0.399,0.647,0.463,0.769,0.296,0.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.11,548.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torres (RS),0.681,0.762,0.702,0.75,0.846,0.862,0.532,0.685,0.595,0.742,0.426,0.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.08,853.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
